OrderID,OrderDate,Category,Sales,Quantity,Region,DeliveryStatus,ReturnRequested
ORD-10000,2026-02-21,Books,320.26,1,South,On-Time,No
ORD-10001,2026-01-15,Home,122.16,1,South,On-Time,No
ORD-10002,2026-03-13,Home,124.0,1,East,On-Time,No
ORD-10003,2026-03-02,Books,118.19,2,West,On-Time,No
ORD-10004,2026-01-21,Electronics,95.14,2,East,On-Time,No
ORD-10005,2026-03-24,Electronics,331.3,4,West,On-Time,No
ORD-10006,2026-03-28,Home,425.53,1,South,Delayed,No
ORD-10007,2026-03-16,Books,364.92,3,North,On-Time,No
ORD-10008,2026-03-16,Apparel,398.13,4,South,On-Time,No
ORD-10009,2026-03-29,Apparel,208.35,3,West,On-Time,No
ORD-10010,2026-01-24,Home,330.5,4,East,Delayed,No
ORD-10011,2026-01-03,Apparel,183.58,2,South,On-Time,Yes
ORD-10012,2026-01-22,Home,267.5,4,East,On-Time,No
ORD-10013,2026-02-22,Books,246.0,2,East,On-Time,No
ORD-10014,2026-01-02,Home,96.67,4,East,On-Time,No
ORD-10015,2026-03-29,Apparel,199.67,1,South,On-Time,No
ORD-10016,2026-01-30,Apparel,482.27,3,East,Delayed,No
ORD-10017,2026-02-07,Apparel,131.8,1,East,On-Time,No
ORD-10018,2026-01-02,Apparel,75.56,4,South,On-Time,No
ORD-10019,2026-03-05,Apparel,215.1,4,East,Delayed,No
ORD-10020,2026-03-01,Apparel,397.27,4,South,On-Time,No
ORD-10021,2026-01-21,Electronics,295.25,2,West,On-Time,No
ORD-10022,2026-02-02,Electronics,343.68,3,West,Delayed,No
ORD-10023,2026-03-17,Apparel,102.95,3,West,On-Time,No
ORD-10024,2026-02-27,Apparel,313.28,4,East,On-Time,No
ORD-10025,2026-01-22,Apparel,168.52,4,North,On-Time,No
ORD-10026,2026-03-30,Home,418.81,2,North,On-Time,No
ORD-10027,2026-02-18,Home,318.36,1,East,On-Time,No
ORD-10028,2026-02-28,Electronics,107.44,1,North,On-Time,No
ORD-10029,2026-02-11,Books,41.66,3,South,On-Time,No
